k     best   average
100     672    285.49
100     664    265.24
100     695    259.32
100     678    239.02
100     673    270.28
100     664    210.58
100     658    326.88
100     673    296.41
100     633    267.07
100     666    279.47
1000     710    276.332
1000     685    272.565
1000     710    268.599
1000     718    252.853
1000     701    268.388
1000     681    261.386
1000     686    264.928
1000     694    244.779
1000     689    261.98
1000     685    259.779
5000     718    256.0984
5000     710    264.4252
5000     726    266.5724
5000     710    261.1008
5000     718    269.5996
5000     726    267.1658
5000     726    260.648
5000     710    267.6964
5000     710    264.729
5000     718    264.4226

100     133607    60682.09
100     133323    55397.49
100     133307    55426.82
100     133448    57992.73
100     133187    59404.82
100     133528    62097.32
100     132935    52818.52
100     133038    54024.28
100     133092    50158.06
100     133602    63386.41
1000     134188    61248.272
1000     133645    60193.252
1000     133714    62966.319
1000     133767    59122.669
1000     133917    60833.942
1000     133618    57815.38
1000     133838    62311.157
1000     133703    63224.691
1000     133811    60205.49
1000     133692    61908.643
5000     133839    59638.8894
5000     134116    60538.3648
5000     133822    58786.1296
5000     133845    60621.9102
5000     134389    60111.6026
5000     133735    60164.7458
5000     133848    59271.2572
5000     134033    59769.5414
5000     134338    59243.3124
5000     133832    59215.5142

